Angelia Crumpler 1980 forward 256892145 Starting
Morgan Schumacher 1981 back 87998901 Starting
Fausto Horta 1982 mid 87998902 Sub
Lino Mckelvey 1983 forward 87998903 Starting
Lesia Sargent 1984 back 87998904 Starting
Sharen Lima 1985 mid 87998905 Sub
Renita Vance 1986 forward 87998906 Starting
Chara Hemsley 1987 back 87998907 Sub
Chet Cluff 1988 mid 87998908 Starting
Luciana Sholtis 1989 forward 87998909 Starting
Mercedes Aurand 1990 back 87998910 Starting
Ileana Simmonds 1991 mid 87998911 Sub
Jewell Stephens 1992 forward 87998912 Sub
Gina Isaacson 1993 back 87998913 Sub
Hermelinda Higa 1994 mid 87998914 Starting
Fredda Vrba 1995 forward 87998915 Starting
Jaquelyn Fizer 1996 back 87998916 Starting
Fe Jonason 1997 mid 87998917 Sub
Fredda Vrba 1998 forward 87998918 Sub
Jaquelyn Fizer 1999 back 87998919 Starting
Fe Jonason 2000 mid 87998920 Starting
Fredda Vrba 2001 forward 87998921 Starting
Jaquelyn Fizer 2002 back 87998922 Starting
